no	id	pipeline	server	tile_path	tiles	tile_gb	source_3857_tif	source_gb	source_updated	dem_dir	note
11	pref-kanagawa	A	shiworks	raster-tiles/pref-kanagawa/kanagawapc-cs-tiles	387611	22.1	E:/GIS/pref-kanagawa/csmap-py/kanagawa-dem-csmap-3857.tif	14.8	2025-06-16	E:/GIS/pref-kanagawa
12	pref-saitama	A	shiworks	raster-tiles/pref-saitama/saitama-csmap-tiles	417318	21.5	E:/GIS/pref-saitama/lp-pointcloud/csmap-py/saitama-csmap-v2-3857.tif	14.0	2025-09-14	E:/GIS/pref-saitama/lp-pointcloud	ソースはv2。サーバ側がv1の可能性あり要確認
13	tokyopc-23ku-2024	A	shiworks	raster-tiles/tokyo-digitaltwin/tokyopc-23ku-2024-cs-tiles	369958	19.1	E:/GIS/tokyopc-23ku-2024/csmap-py/tokyopc-23ku-dem-csmap-3857.tif	14.0	2025-05-25	E:/GIS/tokyopc-23ku-2024	23区
14	pref-hiroshima	A	xs489works	raster-tiles/pref-hiroshima/hiroshimapc-cs-tiles	335398	17.4	E:/GIS/pref-hiroshima/csmap-py/hiroshima-dem-csmap-3857.tif	12.3	2025-06-25	E:/GIS/pref-hiroshima	2022年版より前
15	pref-miyagi	A	shiworks2	raster-tiles/pref-miyagi/miyagi-csmap-tiles	378859	17.4	E:/GIS/pref-miyagi/csmap-py/miyagi-dem-csmap-3857.tif	11.1	2025-06-12	E:/GIS/pref-miyagi
16	pref-osaka	B	xs489works	raster-tiles/pref-osaka/osaka-cs-tiles	450653	10.9	G:/GIS/geospatial/OSAKA-CS-2024/osaka-cs_epsg3857.tif	6.8	2024	G:/GIS/geospatial/OSAKA-CS-2024/tif	大阪府配布のCS立体図を統合
17	pref-wakayama	A	xs489works	raster-tiles/pref-wakayama/wakayamapc-cs-tiles	216085	7.7	C:/Users/yshiw/Documents/GIS/pref-wakayama/wakayama-dem-csmap-3857.tif	5.3	2026-06-28	C:/Users/yshiw/Documents/GIS/pref-wakayama	最新。shiworks側(213859枚5.7GB)と重複
18	tokyopc-shima-02	A	xs489works	raster-tiles/tokyo-digitaltwin/tokyopc-shima-02-2023-cs-tiles	288044	3.5	C:/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-02-dem-csmap-3857.tif	1.8	2025-05-26	C:/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/tif/02	利島・鵜渡根島
19	tokyopc-shima-05	A	xs489works	raster-tiles/tokyo-digitaltwin/tokyopc-shima-05-2023-cs-tiles	75189	3.4	C:/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-05-dem-csmap-3857.tif	2.2	2025-05-26	C:/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/tif/05	八丈島・八丈小島
20	tokyopc-shima-01	A	xs489works	raster-tiles/tokyo-digitaltwin/tokyopc-shima-01-2023-cs-tiles	46122	3.5	C:/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-01-dem-csmap-3857.tif	1.9	2025-05-26	C:/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/tif/01	伊豆大島
21	tokyopc-shima-03	A	xs489works	raster-tiles/tokyo-digitaltwin/tokyopc-shima-03-2023-cs-tiles	29001	2.4	C:/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-03-dem-csmap-3857.tif	1.7	2025-05-26	C:/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/tif/03	三宅島
22	tokyopc-shima-04	A	xs489works	raster-tiles/tokyo-digitaltwin/tokyopc-shima-04-2023-cs-tiles	11090	1.0	C:/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-04-dem-csmap-3857.tif	0.7	2025-05-26	C:/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/tif/04	御蔵島
23	tokyopc-shima-06	A	xs489works	raster-tiles/tokyo-digitaltwin/tokyopc-shima-06-2023-cs-tiles	3456	0.3	C:/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/csmap-py/tokyopc-shima-06-dem-csmap-3857.tif	0.2	2025-05-26	C:/Users/yshiw/Documents/GIS/tokyo-digitaltwin/tokyopc-shima-2023/tif/06	青ヶ島
